,index,CANTIDAD
601,601,84.0
602,602,82.0
603,603,121.0
604,604,95.0
605,605,72.0
606,606,60.0
607,607,39.0
608,608,45.0
609,609,87.0
610,610,83.0
611,611,98.0
612,612,43.0
613,613,65.0
614,614,83.0
615,615,112.0
616,616,82.0
617,617,78.0
618,618,102.0
619,619,76.0
620,620,113.0
621,621,94.0
622,622,75.0
623,623,91.0
624,624,46.0
625,625,87.0
626,626,85.0
627,627,75.0
628,628,98.0
629,629,56.0
630,630,61.0
631,631,69.0
632,632,83.0
633,633,93.0
634,634,57.0
635,635,77.0
636,636,50.0
637,637,75.0
638,638,75.0
639,639,41.0
640,640,68.0
641,641,55.0
642,642,62.0
643,643,72.0
644,644,46.0
645,645,51.0
646,646,65.0
647,647,74.0
648,648,39.0
649,649,83.0
650,650,59.0
651,651,55.0
652,652,50.0
653,653,66.0
654,654,47.0
655,655,43.0
656,656,90.0
657,657,53.0
658,658,97.0
659,659,88.0
660,660,76.0
661,661,63.0
662,662,41.0
663,663,82.0
664,664,52.0
665,665,30.0
666,666,64.0
667,667,91.0
668,668,70.0
669,669,74.0
670,670,51.0
671,671,68.0
672,672,47.0
673,673,92.0
674,674,48.0
675,675,40.0
676,676,41.0
677,677,31.0
678,678,37.0
679,679,44.0
680,680,68.0
681,681,56.0
682,682,55.0
683,683,67.0
684,684,68.0
685,685,13.0
686,686,43.0
687,687,35.0
688,688,43.0
689,689,34.0
690,690,26.0
691,691,32.0
692,692,16.0
693,693,33.0
694,694,0.0
695,695,37.0
696,696,13.0
697,697,15.0
698,698,25.0
699,699,38.0
700,700,37.0
701,701,28.0
702,702,44.0
703,703,47.0
704,704,53.0
705,705,62.0
706,706,60.0
707,707,47.0
708,708,41.0
709,709,54.0
710,710,52.0
711,711,47.0
712,712,77.0
713,713,37.0
714,714,37.0
715,715,57.0
716,716,90.0
717,717,44.0
718,718,50.0
719,719,52.0
720,720,45.0
721,721,61.0
722,722,53.0
723,723,57.0
724,724,74.0
725,725,54.0
726,726,68.0
727,727,35.0
728,728,74.0
729,729,84.0
730,730,43.0
731,731,108.0
732,732,114.0
733,733,107.0
734,734,105.0
735,735,86.0
736,736,133.0
737,737,103.0
738,738,92.0
739,739,71.0
740,740,96.0
741,741,57.0
742,742,78.0
743,743,80.0
744,744,38.0
745,745,85.0
746,746,71.0
747,747,87.0
748,748,69.0
749,749,47.0
750,750,90.0
751,751,41.0
752,752,97.0
753,753,70.0
754,754,101.0
755,755,89.0
756,756,89.0
757,757,78.0
758,758,85.0
759,759,100.0
760,760,62.0
761,761,78.0
762,762,83.0
763,763,45.0
764,764,63.0
765,765,59.0
766,766,50.0
767,767,79.0
768,768,55.0
769,769,88.0
770,770,96.0
771,771,54.0
772,772,53.0
773,773,90.0
774,774,107.0
775,775,77.0
776,776,72.0
777,777,59.0
778,778,84.0
779,779,76.0
780,780,49.0
781,781,82.0
782,782,47.0
783,783,102.0
784,784,55.0
785,785,49.0
786,786,73.0
787,787,79.0
788,788,66.0
789,789,83.0
790,790,57.0
791,791,63.0
792,792,78.0
793,793,86.0
794,794,82.0
795,795,95.0
796,796,91.0
797,797,47.0
798,798,86.0
799,799,42.0
800,800,61.0
801,801,59.0
802,802,26.0
803,803,65.0
804,804,32.0
805,805,68.0
806,806,30.0
807,807,81.0
808,808,105.0
809,809,117.0
810,810,44.0
811,811,59.0
812,812,123.0
813,813,60.0
814,814,118.0
815,815,108.0
816,816,62.0
817,817,81.0
818,818,60.0
819,819,107.0
820,820,76.0
821,821,84.0
822,822,41.0
823,823,70.0
824,824,80.0
825,825,157.0
826,826,101.0
827,827,109.0
828,828,83.0
829,829,94.0
830,830,124.0
831,831,125.0
832,832,69.0
833,833,76.0
834,834,114.0
835,835,79.0
836,836,53.0
837,837,112.0
838,838,88.0
839,839,50.0
840,840,94.0
841,841,68.0
842,842,75.0
843,843,76.0
844,844,67.0
845,845,91.0
846,846,72.0
847,847,74.0
848,848,93.0
849,849,56.0
850,850,62.0
851,851,52.0
852,852,29.0
853,853,53.0
854,854,41.0
855,855,31.0
856,856,30.0
857,857,35.0
858,858,41.0
859,859,41.0
860,860,31.0
861,861,23.0
862,862,61.0
863,863,42.0
864,864,33.0
865,865,41.0
866,866,54.0
867,867,44.0
868,868,41.0
869,869,17.0
870,870,22.0
871,871,47.0
872,872,45.0
873,873,28.0
874,874,26.0
875,875,36.0
876,876,29.0
877,877,53.0
878,878,44.0
879,879,33.0
880,880,36.0
881,881,46.0
882,882,50.0
883,883,28.0
884,884,16.0
885,885,38.0
886,886,20.0
887,887,25.0
888,888,43.0
889,889,55.0
890,890,45.0
891,891,51.0
892,892,39.0
893,893,41.0
894,894,51.0
895,895,71.0
896,896,50.0
897,897,72.0
898,898,95.0
899,899,82.0
900,900,70.0
901,901,70.0
902,902,51.0
903,903,77.0
904,904,46.0
905,905,73.0
906,906,97.0
907,907,66.0
908,908,56.0
909,909,61.0
910,910,50.0
911,911,37.0
912,912,52.0
913,913,36.0
914,914,53.0
915,915,65.0
916,916,42.0
917,917,78.0
918,918,52.0
919,919,60.0
920,920,56.0
921,921,72.0
922,922,43.0
923,923,31.0
924,924,59.0
925,925,91.0
926,926,33.0
927,927,47.0
928,928,24.0
929,929,46.0
930,930,27.0
931,931,51.0
932,932,29.0
933,933,30.0
934,934,29.0
935,935,44.0
936,936,84.0
937,937,86.0
938,938,73.0
939,939,26.0
940,940,39.0
941,941,70.0
942,942,46.0
943,943,54.0
944,944,78.0
945,945,47.0
946,946,53.0
947,947,34.0
948,948,74.0
949,949,101.0
950,950,59.0
951,951,77.0
952,952,79.0
953,953,38.0
954,954,71.0
955,955,110.0
956,956,69.0
957,957,41.0
958,958,71.0
959,959,55.0
960,960,49.0
961,961,80.0
962,962,84.0
963,963,112.0
964,964,53.0
965,965,77.0
966,966,64.0
967,967,44.0
968,968,36.0
969,969,79.0
970,970,90.0
971,971,64.0
972,972,82.0
973,973,103.0
974,974,90.0
975,975,52.0
976,976,81.0
977,977,52.0
978,978,54.0
979,979,103.0
980,980,61.0
981,981,28.0
982,982,40.0
983,983,48.0
984,984,35.0
985,985,72.0
986,986,68.0
987,987,43.0
988,988,72.0
989,989,63.0
990,990,59.0
991,991,35.0
992,992,58.0
993,993,63.0
994,994,100.0
995,995,43.0
996,996,60.0
997,997,82.0
998,998,88.0
999,999,42.0
1000,1000,78.0
1001,1001,62.0
1002,1002,56.0
1003,1003,40.0
1004,1004,24.0
1005,1005,44.0
1006,1006,41.0
1007,1007,74.0
1008,1008,90.0
1009,1009,69.0
1010,1010,57.0
1011,1011,66.0
1012,1012,62.0
1013,1013,79.0
1014,1014,53.0
1015,1015,53.0
1016,1016,71.0
1017,1017,79.0
1018,1018,61.0
1019,1019,82.0
1020,1020,29.0
1021,1021,64.0
1022,1022,48.0
1023,1023,64.0
1024,1024,40.0
1025,1025,42.0
1026,1026,41.0
1027,1027,73.0
1028,1028,39.0
1029,1029,44.0
1030,1030,21.0
1031,1031,62.0
1032,1032,41.0
1033,1033,38.0
1034,1034,26.0
1035,1035,48.0
1036,1036,54.0
1037,1037,51.0
1038,1038,44.0
1039,1039,37.0
1040,1040,53.0
1041,1041,66.0
1042,1042,70.0
1043,1043,46.0
1044,1044,37.0
1045,1045,73.0
1046,1046,40.0
1047,1047,41.0
1048,1048,21.0
1049,1049,38.0
1050,1050,31.0
1051,1051,32.0
1052,1052,16.0
1053,1053,32.0
1054,1054,23.0
1055,1055,34.0
1056,1056,40.0
1057,1057,42.0
1058,1058,21.0
1059,1059,0.0
1060,1060,76.0
1061,1061,39.0
1062,1062,32.0
1063,1063,21.0
1064,1064,40.0
1065,1065,61.0
1066,1066,58.0
1067,1067,39.0
1068,1068,28.0
1069,1069,56.0
1070,1070,53.0
1071,1071,59.0
1072,1072,49.0
1073,1073,59.0
1074,1074,44.0
1075,1075,89.0
1076,1076,89.0
1077,1077,98.0
1078,1078,89.0
1079,1079,51.0
1080,1080,66.0
1081,1081,43.0
1082,1082,69.0
1083,1083,86.0
1084,1084,76.0
1085,1085,118.0
1086,1086,43.0
1087,1087,95.0
1088,1088,86.0
1089,1089,58.0
1090,1090,116.0
1091,1091,60.0
1092,1092,120.0
1093,1093,87.0
1094,1094,104.0
1095,1095,74.0
1096,1096,111.0
1097,1097,84.0
1098,1098,118.0
1099,1099,147.0
1100,1100,81.0
1101,1101,92.0
1102,1102,83.0
1103,1103,109.0
1104,1104,94.0
1105,1105,96.0
1106,1106,120.0
1107,1107,105.0
1108,1108,54.0
1109,1109,53.0
1110,1110,74.0
1111,1111,98.0
1112,1112,95.0
1113,1113,115.0
1114,1114,70.0
1115,1115,50.0
1116,1116,80.0
1117,1117,77.0
1118,1118,50.0
1119,1119,115.0
1120,1120,51.0
1121,1121,80.0
1122,1122,70.0
1123,1123,61.0
1124,1124,78.0
1125,1125,59.0
1126,1126,94.0
1127,1127,86.0
1128,1128,49.0
1129,1129,45.0
1130,1130,50.0
1131,1131,44.0
1132,1132,96.0
1133,1133,84.0
1134,1134,58.0
1135,1135,52.0
1136,1136,45.0
1137,1137,33.0
1138,1138,56.0
1139,1139,40.0
1140,1140,88.0
1141,1141,120.0
1142,1142,62.0
1143,1143,128.0
1144,1144,192.0
1145,1145,170.0
1146,1146,188.0
1147,1147,168.0
1148,1148,107.0
1149,1149,153.0
1150,1150,190.0
1151,1151,254.0
1152,1152,180.0
1153,1153,239.0
1154,1154,197.0
1155,1155,194.0
1156,1156,230.0
1157,1157,178.0
1158,1158,123.0
1159,1159,179.0
1160,1160,117.0
1161,1161,200.0
1162,1162,164.0
1163,1163,155.0
1164,1164,187.0
1165,1165,187.0
1166,1166,277.0
1167,1167,164.0
1168,1168,185.0
1169,1169,144.0
1170,1170,106.0
1171,1171,153.0
1172,1172,174.0
1173,1173,155.0
1174,1174,165.0
1175,1175,117.0
1176,1176,118.0
1177,1177,198.0
1178,1178,191.0
1179,1179,325.0
1180,1180,232.0
1181,1181,249.0
1182,1182,125.0
1183,1183,155.0
1184,1184,192.0
1185,1185,222.0
1186,1186,162.0
1187,1187,217.0
1188,1188,197.0
1189,1189,149.0
1190,1190,135.0
1191,1191,179.0
1192,1192,214.0
1193,1193,212.0
1194,1194,228.0
1195,1195,435.0
1196,1196,352.0
1197,1197,350.0
1198,1198,227.0
1199,1199,274.0
1200,1200,294.0
1201,1201,284.0
1202,1202,338.0
1203,1203,318.0
1204,1204,270.0
1205,1205,186.0
1206,1206,185.0
1207,1207,202.0
1208,1208,194.0
1209,1209,211.0
1210,1210,192.0
1211,1211,133.0
1212,1212,116.0
1213,1213,198.0
1214,1214,190.0
1215,1215,163.0
1216,1216,229.0
1217,1217,171.0
1218,1218,239.0
1219,1219,112.0
1220,1220,80.0
1221,1221,147.0
1222,1222,129.0
1223,1223,117.0
1224,1224,73.0
1225,1225,77.0
1226,1226,79.0
1227,1227,90.0
1228,1228,153.0
1229,1229,179.0
1230,1230,160.0
1231,1231,140.0
1232,1232,188.0
1233,1233,192.0
1234,1234,118.0
1235,1235,173.0
1236,1236,150.0
1237,1237,121.0
1238,1238,171.0
1239,1239,194.0
1240,1240,167.0
1241,1241,76.0
1242,1242,62.0
1243,1243,114.0
1244,1244,64.0
1245,1245,85.0
1246,1246,211.0
1247,1247,59.0
1248,1248,24.0
1249,1249,75.0
1250,1250,80.0
1251,1251,172.0
1252,1252,192.0
1253,1253,141.0
1254,1254,64.0
1255,1255,44.0
1256,1256,39.0
1257,1257,78.0
1258,1258,142.0
1259,1259,215.0
1260,1260,185.0
1261,1261,215.0
1262,1262,65.0
1263,1263,103.0
1264,1264,86.0
1265,1265,119.0
1266,1266,130.0
1267,1267,133.0
1268,1268,65.0
1269,1269,81.0
1270,1270,123.0
1271,1271,90.0
1272,1272,173.0
1273,1273,191.0
1274,1274,191.0
1275,1275,166.0
1276,1276,180.0
1277,1277,223.0
1278,1278,150.0
1279,1279,194.0
1280,1280,216.0
1281,1281,192.0
1282,1282,122.0
1283,1283,137.0
1284,1284,140.0
1285,1285,207.0
1286,1286,133.0
1287,1287,201.0
1288,1288,240.0
1289,1289,225.0
1290,1290,128.0
1291,1291,158.0
1292,1292,160.0
1293,1293,223.0
1294,1294,140.0
1295,1295,239.0
1296,1296,151.0
1297,1297,113.0
1298,1298,175.0
1299,1299,90.0
1300,1300,151.0
1301,1301,177.0
1302,1302,242.0
1303,1303,59.0
1304,1304,78.0
1305,1305,167.0
1306,1306,156.0
1307,1307,140.0
1308,1308,264.0
1309,1309,167.0
1310,1310,100.0
1311,1311,124.0
1312,1312,109.0
1313,1313,74.0
1314,1314,109.0
1315,1315,125.0
1316,1316,107.0
1317,1317,75.0
1318,1318,40.0
1319,1319,61.0
1320,1320,92.0
1321,1321,78.0
1322,1322,85.0
1323,1323,84.0
1324,1324,72.0
1325,1325,60.0
1326,1326,59.0
1327,1327,48.0
1328,1328,82.0
1329,1329,126.0
1330,1330,105.0
1331,1331,44.0
1332,1332,29.0
1333,1333,20.0
1334,1334,34.0
1335,1335,66.0
1336,1336,117.0
1337,1337,77.0
1338,1338,34.0
1339,1339,46.0
1340,1340,71.0
1341,1341,42.0
1342,1342,98.0
1343,1343,76.0
1344,1344,172.0
1345,1345,67.0
1346,1346,49.0
1347,1347,60.0
1348,1348,54.0
1349,1349,38.0
1350,1350,65.0
1351,1351,45.0
1352,1352,51.0
1353,1353,46.0
1354,1354,34.0
1355,1355,59.0
1356,1356,58.0
1357,1357,71.0
1358,1358,63.0
1359,1359,64.0
1360,1360,25.0
1361,1361,50.0
1362,1362,18.0
1363,1363,14.0
1364,1364,73.0
1365,1365,62.0
1366,1366,76.0
1367,1367,22.0
1368,1368,59.0
1369,1369,37.0
1370,1370,50.0
1371,1371,55.0
1372,1372,86.0
1373,1373,42.0
1374,1374,42.0
1375,1375,45.0
1376,1376,67.0
1377,1377,41.0
1378,1378,89.0
1379,1379,62.0
1380,1380,29.0
1381,1381,25.0
1382,1382,32.0
1383,1383,23.0
1384,1384,41.0
1385,1385,50.0
1386,1386,88.0
1387,1387,58.0
1388,1388,38.0
1389,1389,46.0
1390,1390,27.0
1391,1391,31.0
1392,1392,28.0
1393,1393,34.0
1394,1394,51.0
1395,1395,20.0
1396,1396,39.0
1397,1397,24.0
1398,1398,52.0
1399,1399,53.0
1400,1400,71.0
1401,1401,40.0
1402,1402,81.0
1403,1403,23.0
1404,1404,41.0
1405,1405,36.0
1406,1406,63.0
1407,1407,100.0
1408,1408,43.0
1409,1409,34.0
1410,1410,38.0
1411,1411,46.0
1412,1412,67.0
1413,1413,53.0
1414,1414,87.0
1415,1415,59.0
1416,1416,29.0
1417,1417,36.0
1418,1418,35.0
1419,1419,208.0
1420,1420,67.0
1421,1421,59.0
1422,1422,19.0
1423,1423,19.0
1424,1424,28.0
1425,1425,0.0
1426,1426,65.0
1427,1427,37.0
1428,1428,73.0
1429,1429,29.0
1430,1430,17.0
1431,1431,53.0
1432,1432,39.0
1433,1433,50.0
1434,1434,209.0
1435,1435,237.0
1436,1436,152.0
1437,1437,46.0
1438,1438,74.0
1439,1439,95.0
1440,1440,64.0
1441,1441,84.0
1442,1442,107.0
1443,1443,96.0
1444,1444,115.0
1445,1445,89.0
1446,1446,135.0
1447,1447,70.0
1448,1448,134.0
1449,1449,148.0
1450,1450,139.0
1451,1451,127.0
1452,1452,128.0
1453,1453,157.0
1454,1454,142.0
1455,1455,192.0
1456,1456,139.0
1457,1457,79.0
1458,1458,145.0
1459,1459,137.0
1460,1460,113.0
1461,1461,180.0
1462,1462,136.0
1463,1463,73.0
1464,1464,118.0
1465,1465,96.0
1466,1466,97.0
1467,1467,87.0
1468,1468,106.0
1469,1469,137.0
1470,1470,144.0
1471,1471,155.0
1472,1472,124.0
1473,1473,136.0
1474,1474,97.0
1475,1475,199.0
1476,1476,133.0
1477,1477,103.0
1478,1478,93.0
1479,1479,88.0
1480,1480,134.0
1481,1481,100.0
1482,1482,112.0
1483,1483,185.0
1484,1484,161.0
1485,1485,55.0
1486,1486,78.0
1487,1487,94.0
1488,1488,120.0
1489,1489,121.0
1490,1490,77.0
1491,1491,115.0
1492,1492,65.0
1493,1493,58.0
1494,1494,65.0
1495,1495,101.0
1496,1496,78.0
1497,1497,92.0
1498,1498,89.0
1499,1499,73.0
1500,1500,70.0
1501,1501,37.0
1502,1502,45.0
1503,1503,109.0
1504,1504,87.0
1505,1505,87.0
1506,1506,67.0
1507,1507,84.0
1508,1508,83.0
1509,1509,64.0
1510,1510,86.0
1511,1511,89.0
1512,1512,117.0
1513,1513,103.0
1514,1514,87.0
1515,1515,133.0
1516,1516,106.0
1517,1517,85.0
1518,1518,130.0
1519,1519,152.0
1520,1520,72.0
1521,1521,84.0
1522,1522,61.0
1523,1523,51.0
1524,1524,77.0
1525,1525,75.0
1526,1526,114.0
1527,1527,103.0
1528,1528,78.0
1529,1529,75.0
1530,1530,85.0
1531,1531,67.0
1532,1532,111.0
1533,1533,107.0
1534,1534,83.0
1535,1535,87.0
1536,1536,149.0
1537,1537,86.0
1538,1538,104.0
1539,1539,115.0
1540,1540,71.0
1541,1541,106.0
1542,1542,101.0
1543,1543,144.0
1544,1544,109.0
1545,1545,170.0
1546,1546,353.0
1547,1547,246.0
1548,1548,38.0
