,ANO,MES,SEMANA,CANTIDAD,x1
447,2017,3,9,2.0,447
448,2017,3,10,2.0,448
449,2017,3,11,0.0,449
450,2017,3,12,0.0,450
451,2017,3,13,2.0,451
452,2017,4,13,0.0,452
453,2017,4,14,4.0,453
454,2017,4,15,1.0,454
455,2017,4,16,1.0,455
456,2017,4,17,1.0,456
457,2017,5,18,1.0,457
458,2017,5,19,2.0,458
459,2017,5,20,0.0,459
460,2017,5,21,1.0,460
461,2017,5,22,0.0,461
462,2017,6,22,1.0,462
463,2017,6,23,2.0,463
464,2017,6,24,2.0,464
465,2017,6,25,2.0,465
466,2017,6,26,0.0,466
467,2017,7,26,2.0,467
468,2017,7,27,1.0,468
469,2017,7,28,2.0,469
470,2017,7,29,0.0,470
471,2017,7,30,0.0,471
472,2017,7,31,0.0,472
473,2017,8,31,0.0,473
474,2017,8,32,1.0,474
475,2017,8,33,1.0,475
476,2017,8,34,0.0,476
477,2017,8,35,2.0,477
478,2017,9,35,0.0,478
479,2017,9,36,0.0,479
480,2017,9,37,3.0,480
481,2017,9,38,1.0,481
482,2017,9,39,0.0,482
483,2017,10,39,1.0,483
484,2017,10,40,0.0,484
485,2017,10,41,3.0,485
486,2017,10,42,1.0,486
487,2017,10,43,2.0,487
488,2017,10,44,0.0,488
489,2017,11,44,0.0,489
490,2017,11,45,2.0,490
491,2017,11,46,0.0,491
492,2017,11,47,2.0,492
493,2017,11,48,4.0,493
494,2017,12,48,0.0,494
495,2017,12,49,2.0,495
496,2017,12,50,0.0,496
497,2017,12,51,1.0,497
498,2017,12,52,1.0,498
499,2018,1,1,2.0,499
500,2018,1,2,1.0,500
501,2018,1,3,3.0,501
502,2018,1,4,1.0,502
503,2018,1,5,1.0,503
504,2018,2,5,2.0,504
505,2018,2,6,1.0,505
506,2018,2,7,2.0,506
507,2018,2,8,1.0,507
508,2018,2,9,0.0,508
509,2018,3,9,0.0,509
510,2018,3,10,2.0,510
511,2018,3,11,1.0,511
512,2018,3,12,3.0,512
513,2018,3,13,2.0,513
514,2018,4,13,0.0,514
515,2018,4,14,1.0,515
516,2018,4,15,3.0,516
517,2018,4,16,3.0,517
518,2018,4,17,1.0,518
519,2018,4,18,1.0,519
520,2018,5,18,0.0,520
521,2018,5,19,1.0,521
522,2018,5,20,1.0,522
523,2018,5,21,1.0,523
524,2018,5,22,1.0,524
525,2018,6,22,0.0,525
526,2018,6,23,1.0,526
527,2018,6,24,1.0,527
528,2018,6,25,2.0,528
529,2018,6,26,1.0,529
530,2018,7,26,0.0,530
531,2018,7,27,1.0,531
532,2018,7,28,5.0,532
533,2018,7,29,3.0,533
534,2018,7,30,1.0,534
535,2018,7,31,1.0,535
536,2018,8,31,1.0,536
537,2018,8,32,0.0,537
538,2018,8,33,0.0,538
539,2018,8,34,0.0,539
540,2018,8,35,0.0,540
541,2018,9,35,0.0,541
542,2018,9,36,2.0,542
543,2018,9,37,3.0,543
544,2018,9,38,3.0,544
545,2018,9,39,1.0,545
546,2018,10,40,0.0,546
547,2018,10,41,3.0,547
548,2018,10,42,5.0,548
549,2018,10,43,4.0,549
550,2018,10,44,1.0,550
551,2018,11,44,0.0,551
552,2018,11,45,1.0,552
553,2018,11,46,2.0,553
554,2018,11,47,3.0,554
555,2018,11,48,1.0,555
556,2018,12,1,1.0,556
557,2018,12,48,1.0,557
558,2018,12,49,1.0,558
559,2018,12,50,2.0,559
560,2018,12,51,1.0,560
561,2018,12,52,0.0,561
562,2019,1,1,3.0,562
563,2019,1,2,3.0,563
564,2019,1,3,1.0,564
565,2019,1,4,2.0,565
566,2019,1,5,2.0,566
567,2019,2,5,4.0,567
568,2019,2,6,0.0,568
569,2019,2,7,0.0,569
570,2019,2,8,2.0,570
571,2019,2,9,0.0,571
572,2019,3,9,0.0,572
573,2019,3,10,4.0,573
574,2019,3,11,1.0,574
575,2019,3,12,0.0,575
576,2019,3,13,0.0,576
577,2019,4,14,1.0,577
578,2019,4,15,4.0,578
579,2019,4,16,0.0,579
580,2019,4,17,2.0,580
581,2019,4,18,1.0,581
582,2019,5,18,2.0,582
583,2019,5,19,2.0,583
584,2019,5,20,1.0,584
585,2019,5,21,2.0,585
586,2019,5,22,1.0,586
587,2019,6,22,0.0,587
588,2019,6,23,0.0,588
589,2019,6,24,1.0,589
590,2019,6,25,1.0,590
591,2019,6,26,2.0,591
592,2019,7,27,1.0,592
593,2019,7,28,2.0,593
594,2019,7,29,2.0,594
595,2019,7,30,0.0,595
596,2019,7,31,5.0,596
597,2019,8,31,0.0,597
598,2019,8,32,3.0,598
599,2019,8,33,3.0,599
600,2019,8,34,0.0,600
601,2019,8,35,0.0,601
602,2019,9,35,0.0,602
603,2019,9,36,2.0,603
604,2019,9,37,0.0,604
605,2019,9,38,2.0,605
606,2019,9,39,0.0,606
607,2019,9,40,0.0,607
608,2019,10,40,2.0,608
609,2019,10,41,1.0,609
610,2019,10,42,0.0,610
611,2019,10,43,1.0,611
612,2019,10,44,1.0,612
613,2019,11,44,2.0,613
614,2019,11,45,0.0,614
615,2019,11,46,0.0,615
616,2019,11,47,2.0,616
617,2019,11,48,1.0,617
618,2019,12,1,3.0,618
619,2019,12,48,1.0,619
620,2019,12,49,6.0,620
621,2019,12,50,5.0,621
622,2019,12,51,0.0,622
623,2019,12,52,3.0,623
624,2020,1,1,0.0,624
625,2020,1,2,1.0,625
626,2020,1,3,1.0,626
627,2020,1,4,2.0,627
628,2020,1,5,0.0,628
629,2020,2,5,2.0,629
630,2020,2,6,5.0,630
631,2020,2,7,5.0,631
632,2020,2,8,1.0,632
633,2020,2,9,2.0,633
634,2020,3,9,0.0,634
635,2020,3,10,1.0,635
636,2020,3,11,0.0,636
637,2020,3,12,0.0,637
638,2020,3,13,1.0,638
639,2020,3,14,0.0,639
640,2020,4,14,0.0,640
641,2020,4,15,1.0,641
642,2020,4,16,0.0,642
643,2020,4,17,1.0,643
644,2020,4,18,0.0,644
645,2020,5,18,0.0,645
646,2020,5,19,2.0,646
647,2020,5,20,1.0,647
648,2020,5,21,0.0,648
649,2020,5,22,0.0,649
650,2020,6,23,0.0,650
651,2020,6,24,0.0,651
652,2020,6,25,0.0,652
653,2020,6,26,0.0,653
654,2020,6,27,0.0,654
655,2020,7,27,0.0,655
656,2020,7,28,1.0,656
657,2020,7,29,0.0,657
658,2020,7,30,0.0,658
659,2020,7,31,0.0,659
660,2020,8,31,0.0,660
661,2020,8,32,0.0,661
662,2020,8,33,0.0,662
663,2020,8,34,0.0,663
664,2020,8,35,1.0,664
665,2020,8,36,0.0,665
666,2020,9,36,0.0,666
667,2020,9,37,1.0,667
668,2020,9,38,1.0,668
669,2020,9,39,0.0,669
670,2020,9,40,0.0,670
671,2020,10,40,2.0,671
672,2020,10,41,2.0,672
673,2020,10,42,2.0,673
674,2020,10,43,1.0,674
675,2020,10,44,2.0,675
676,2020,11,44,0.0,676
677,2020,11,45,4.0,677
678,2020,11,46,2.0,678
679,2020,11,47,2.0,679
680,2020,11,48,0.0,680
681,2020,11,49,0.0,681
682,2020,12,49,2.0,682
683,2020,12,50,2.0,683
684,2020,12,51,0.0,684
685,2020,12,52,0.0,685
686,2020,12,53,1.0,686
687,2021,1,1,0.0,687
688,2021,1,2,0.0,688
689,2021,1,3,0.0,689
690,2021,1,4,0.0,690
691,2021,1,53,0.0,691
692,2021,2,5,0.0,692
693,2021,2,6,0.0,693
694,2021,2,7,0.0,694
695,2021,2,8,0.0,695
696,2021,3,9,0.0,696
697,2021,3,10,0.0,697
698,2021,3,11,0.0,698
699,2021,3,12,0.0,699
700,2021,3,13,0.0,700
701,2021,4,13,0.0,701
702,2021,4,14,0.0,702
703,2021,4,15,0.0,703
704,2021,4,16,0.0,704
705,2021,4,17,0.0,705
706,2021,5,17,0.0,706
707,2021,5,18,0.0,707
708,2021,5,19,0.0,708
709,2021,5,20,0.0,709
710,2021,5,21,0.0,710
711,2021,5,22,0.0,711
712,2021,6,22,0.0,712
713,2021,6,23,0.0,713
714,2021,6,24,0.0,714
715,2021,6,25,0.0,715
716,2021,6,26,0.0,716
717,2021,7,26,1.0,717
718,2021,7,27,1.0,718
719,2021,7,28,1.0,719
720,2021,7,29,0.0,720
721,2021,7,30,0.0,721
722,2021,8,30,0.0,722
723,2021,8,31,1.0,723
724,2021,8,32,0.0,724
725,2021,8,33,3.0,725
726,2021,8,34,0.0,726
727,2021,8,35,1.0,727
728,2021,9,35,1.0,728
729,2021,9,36,0.0,729
730,2021,9,37,1.0,730
731,2021,9,38,0.0,731
732,2021,9,39,3.0,732
733,2021,10,39,2.0,733
734,2021,10,40,1.0,734
735,2021,10,41,4.0,735
736,2021,10,42,0.0,736
737,2021,10,43,0.0,737
738,2021,11,44,3.0,738
739,2021,11,45,3.0,739
740,2021,11,46,2.0,740
741,2021,11,47,0.0,741
742,2021,11,48,0.0,742
743,2021,12,48,0.0,743
744,2021,12,49,0.0,744
745,2021,12,50,1.0,745
