,CANTIDAD_CORRECTIVAS,CANTIDAD_CRIMENES
508,86.0,0.0
509,82.0,1.0
510,30.0,0.0
511,54.0,0.0
512,50.0,0.0
513,67.0,0.0
514,104.0,0.0
515,42.0,1.0
516,70.0,0.0
517,78.0,0.0
518,115.0,0.0
519,53.0,2.0
520,63.0,1.0
521,60.0,0.0
522,92.0,0.0
523,50.0,0.0
524,99.0,2.0
525,102.0,0.0
526,89.0,0.0
527,81.0,1.0
528,75.0,0.0
529,31.0,2.0
530,57.0,0.0
531,95.0,0.0
532,89.0,0.0
533,86.0,0.0
534,56.0,0.0
535,49.0,1.0
536,46.0,0.0
537,43.0,0.0
538,42.0,0.0
539,88.0,0.0
540,53.0,0.0
541,72.0,1.0
542,46.0,0.0
543,54.0,0.0
544,69.0,0.0
545,55.0,1.0
546,71.0,0.0
547,36.0,0.0
548,96.0,0.0
549,43.0,0.0
550,47.0,0.0
551,50.0,0.0
552,73.0,0.0
553,64.0,0.0
554,55.0,0.0
555,81.0,0.0
556,55.0,0.0
557,55.0,0.0
558,86.0,0.0
559,93.0,0.0
560,93.0,0.0
561,77.0,0.0
562,52.0,0.0
563,51.0,0.0
564,50.0,0.0
565,61.0,0.0
566,73.0,0.0
567,61.0,0.0
568,63.0,0.0
569,31.0,0.0
570,49.0,0.0
571,63.0,0.0
572,52.0,0.0
573,70.0,0.0
574,83.0,0.0
575,51.0,0.0
576,81.0,0.0
577,92.0,0.0
578,82.0,0.0
579,98.0,1.0
580,56.0,0.0
581,48.0,1.0
582,84.0,1.0
583,82.0,0.0
584,91.0,1.0
585,64.0,1.0
586,73.0,0.0
587,103.0,0.0
588,85.0,0.0
589,101.0,1.0
590,48.0,0.0
591,55.0,2.0
592,98.0,0.0
593,77.0,0.0
594,96.0,0.0
595,75.0,0.0
596,73.0,0.0
597,94.0,0.0
598,111.0,0.0
599,95.0,0.0
600,92.0,0.0
601,84.0,1.0
602,82.0,0.0
603,121.0,0.0
604,95.0,0.0
605,72.0,0.0
606,60.0,0.0
607,39.0,0.0
608,45.0,0.0
609,87.0,0.0
610,83.0,2.0
611,98.0,0.0
612,43.0,0.0
613,65.0,0.0
614,83.0,1.0
615,112.0,0.0
616,82.0,0.0
617,78.0,0.0
618,102.0,2.0
619,76.0,0.0
620,113.0,0.0
621,94.0,2.0
622,75.0,0.0
623,91.0,1.0
624,46.0,1.0
625,87.0,1.0
626,85.0,0.0
627,75.0,0.0
628,98.0,2.0
629,56.0,0.0
630,61.0,0.0
631,69.0,1.0
632,83.0,0.0
633,93.0,0.0
634,57.0,0.0
635,77.0,0.0
636,50.0,0.0
637,75.0,0.0
638,75.0,0.0
639,41.0,1.0
640,68.0,0.0
641,55.0,0.0
642,62.0,0.0
643,72.0,0.0
644,46.0,0.0
645,51.0,0.0
646,65.0,1.0
647,74.0,1.0
648,39.0,0.0
649,83.0,0.0
650,59.0,0.0
651,55.0,0.0
652,50.0,0.0
653,66.0,2.0
654,47.0,1.0
655,43.0,0.0
656,90.0,0.0
657,53.0,0.0
658,97.0,0.0
659,88.0,1.0
660,76.0,0.0
661,63.0,0.0
662,41.0,0.0
663,82.0,0.0
664,52.0,1.0
665,30.0,0.0
666,64.0,0.0
667,91.0,1.0
668,70.0,0.0
669,74.0,0.0
670,51.0,0.0
671,68.0,0.0
672,47.0,0.0
673,92.0,0.0
674,48.0,0.0
675,40.0,0.0
676,41.0,1.0
677,31.0,0.0
678,37.0,1.0
679,44.0,0.0
680,68.0,0.0
681,56.0,0.0
682,55.0,0.0
683,67.0,0.0
684,68.0,0.0
685,13.0,1.0
686,43.0,0.0
687,35.0,0.0
688,43.0,0.0
689,34.0,0.0
690,26.0,0.0
691,32.0,0.0
692,16.0,0.0
693,33.0,0.0
694,0.0,1.0
695,37.0,0.0
696,13.0,0.0
697,15.0,0.0
698,25.0,2.0
699,38.0,1.0
700,37.0,0.0
701,28.0,0.0
702,44.0,2.0
703,47.0,0.0
704,53.0,0.0
705,62.0,0.0
706,60.0,1.0
707,47.0,0.0
708,41.0,0.0
709,54.0,0.0
710,52.0,1.0
711,47.0,0.0
712,77.0,0.0
713,37.0,0.0
714,37.0,0.0
715,57.0,0.0
716,90.0,0.0
717,44.0,1.0
718,50.0,1.0
719,52.0,0.0
720,45.0,0.0
721,61.0,0.0
722,53.0,2.0
723,57.0,0.0
724,74.0,0.0
725,54.0,0.0
726,68.0,3.0
727,35.0,1.0
728,74.0,0.0
729,84.0,0.0
730,43.0,0.0
731,108.0,0.0
732,114.0,0.0
733,107.0,0.0
734,105.0,0.0
735,86.0,0.0
736,133.0,0.0
737,103.0,0.0
738,92.0,0.0
739,71.0,0.0
740,96.0,0.0
741,57.0,0.0
742,78.0,0.0
743,80.0,1.0
744,38.0,0.0
745,85.0,0.0
746,71.0,1.0
747,87.0,0.0
748,69.0,0.0
749,47.0,0.0
750,90.0,0.0
751,41.0,0.0
752,97.0,0.0
753,70.0,0.0
754,101.0,0.0
755,89.0,0.0
756,89.0,0.0
757,78.0,0.0
758,85.0,0.0
759,100.0,1.0
760,62.0,0.0
761,78.0,2.0
762,83.0,0.0
763,45.0,1.0
764,63.0,0.0
765,59.0,0.0
766,50.0,1.0
767,79.0,0.0
768,55.0,0.0
769,88.0,0.0
770,96.0,0.0
771,54.0,0.0
772,53.0,0.0
773,90.0,0.0
774,107.0,0.0
775,77.0,0.0
776,72.0,0.0
777,59.0,0.0
778,84.0,0.0
779,76.0,0.0
780,49.0,0.0
781,82.0,0.0
782,47.0,0.0
783,102.0,0.0
784,55.0,0.0
785,49.0,0.0
786,73.0,0.0
787,79.0,0.0
788,66.0,1.0
789,83.0,0.0
790,57.0,0.0
791,63.0,0.0
792,78.0,0.0
793,86.0,0.0
794,82.0,1.0
795,95.0,2.0
796,91.0,0.0
797,47.0,0.0
798,86.0,1.0
799,42.0,0.0
800,61.0,0.0
801,59.0,0.0
802,26.0,0.0
803,65.0,0.0
804,32.0,0.0
805,68.0,0.0
806,30.0,0.0
807,81.0,1.0
808,105.0,0.0
809,117.0,0.0
810,44.0,1.0
811,59.0,0.0
812,123.0,0.0
813,60.0,0.0
814,118.0,1.0
815,108.0,0.0
816,62.0,1.0
817,81.0,1.0
818,60.0,0.0
819,107.0,0.0
820,76.0,0.0
821,84.0,0.0
822,41.0,0.0
823,70.0,0.0
824,80.0,1.0
825,157.0,0.0
826,101.0,1.0
827,109.0,0.0
828,83.0,0.0
829,94.0,0.0
830,124.0,1.0
831,125.0,0.0
832,69.0,0.0
833,76.0,0.0
834,114.0,0.0
835,79.0,0.0
836,53.0,2.0
837,112.0,0.0
838,88.0,0.0
839,50.0,0.0
840,94.0,0.0
841,68.0,0.0
842,75.0,1.0
843,76.0,0.0
844,67.0,0.0
845,91.0,0.0
846,72.0,0.0
847,74.0,0.0
848,93.0,0.0
849,56.0,0.0
850,62.0,0.0
851,52.0,0.0
852,29.0,0.0
853,53.0,0.0
854,41.0,0.0
855,31.0,1.0
856,30.0,0.0
857,35.0,0.0
858,41.0,0.0
859,41.0,0.0
860,31.0,0.0
861,23.0,0.0
862,61.0,0.0
863,42.0,0.0
864,33.0,0.0
865,41.0,0.0
866,54.0,1.0
867,44.0,0.0
868,41.0,0.0
869,17.0,0.0
870,22.0,0.0
871,47.0,0.0
872,45.0,0.0
873,28.0,1.0
874,26.0,0.0
875,36.0,1.0
876,29.0,0.0
877,53.0,0.0
878,44.0,0.0
879,33.0,0.0
880,36.0,1.0
881,46.0,0.0
882,50.0,0.0
883,28.0,0.0
884,16.0,0.0
885,38.0,0.0
886,20.0,1.0
887,25.0,1.0
888,43.0,0.0
889,55.0,0.0
890,45.0,0.0
891,51.0,0.0
892,39.0,1.0
893,41.0,0.0
894,51.0,1.0
895,71.0,0.0
896,50.0,0.0
897,72.0,0.0
898,95.0,0.0
899,82.0,0.0
900,70.0,0.0
901,70.0,0.0
902,51.0,0.0
903,77.0,0.0
904,46.0,0.0
905,73.0,2.0
906,97.0,3.0
907,66.0,0.0
908,56.0,0.0
909,61.0,0.0
910,50.0,0.0
911,37.0,2.0
912,52.0,0.0
913,36.0,0.0
914,53.0,0.0
915,65.0,1.0
916,42.0,0.0
917,78.0,0.0
918,52.0,1.0
919,60.0,1.0
920,56.0,0.0
921,72.0,1.0
922,43.0,0.0
923,31.0,0.0
924,59.0,0.0
925,91.0,0.0
926,33.0,0.0
927,47.0,0.0
928,24.0,0.0
929,46.0,0.0
930,27.0,0.0
931,51.0,0.0
932,29.0,0.0
933,30.0,0.0
934,29.0,0.0
935,44.0,0.0
936,84.0,0.0
937,86.0,0.0
938,73.0,0.0
939,26.0,0.0
940,39.0,0.0
941,70.0,1.0
942,46.0,0.0
943,54.0,1.0
944,78.0,0.0
945,47.0,0.0
946,53.0,0.0
947,34.0,0.0
948,74.0,0.0
949,101.0,0.0
950,59.0,0.0
951,77.0,0.0
952,79.0,0.0
953,38.0,0.0
954,71.0,1.0
955,110.0,1.0
956,69.0,0.0
957,41.0,0.0
958,71.0,0.0
959,55.0,0.0
960,49.0,0.0
961,80.0,0.0
962,84.0,0.0
963,112.0,0.0
964,53.0,0.0
965,77.0,0.0
966,64.0,0.0
967,44.0,0.0
968,36.0,1.0
969,79.0,0.0
970,90.0,0.0
971,64.0,0.0
972,82.0,0.0
973,103.0,1.0
974,90.0,1.0
975,52.0,0.0
976,81.0,0.0
977,52.0,0.0
978,54.0,0.0
979,103.0,0.0
980,61.0,0.0
981,28.0,0.0
982,40.0,0.0
983,48.0,0.0
984,35.0,0.0
985,72.0,0.0
986,68.0,0.0
