FID;NOMBRE;CATEGORIA;COMUNA;Manzanas;Personas;Hombres;Mujeres;Edad0a9;Edad10a19;Edad20a29;Edad30a39;Edad40a49;Edad50a59;Edad60a69;Edad70a79;Edad80omas;Viviendas;Hogares;HogaresDes;EstratoN1;EstratoN2;EstratoN3;EstratoN4;EstratoN5;EstratoN6
139;LOS PINOS;BARRIO;COMUNA 13;19,000000000000000;2732,000000000000000;1229,000000000000000;1503,000000000000000;208,000000000000000;318,000000000000000;336,000000000000000;334,000000000000000;380,000000000000000;390,000000000000000;393,000000000000000;235,000000000000000;138,000000000000000;1057,000000000000000;964,000000000000000;43,000000000000000;5,000000000000000;4,000000000000000;20,000000000000000;879,000000000000000;23,000000000000000;1,000000000000000
140;LOS SAUCES;BARRIO;COMUNA 13;2,000000000000000;383,000000000000000;173,000000000000000;210,000000000000000;45,000000000000000;66,000000000000000;73,000000000000000;57,000000000000000;54,000000000000000;35,000000000000000;28,000000000000000;18,000000000000000;7,000000000000000;123,000000000000000;123,000000000000000;5,000000000000000;64,000000000000000;25,000000000000000;0,000000000000000;24,000000000000000;0,000000000000000;0,000000000000000
141;La Guacamaya;A. URBANO;COMUNA 08;3,000000000000000;251,000000000000000;129,000000000000000;122,000000000000000;47,000000000000000;56,000000000000000;45,000000000000000;50,000000000000000;22,000000000000000;20,000000000000000;7,000000000000000;2,000000000000000;2,000000000000000;80,000000000000000;79,000000000000000;7,000000000000000;67,000000000000000;3,000000000000000;1,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
142;La Mala0a;A. RURAL;COMUNA 14;10,000000000000000;142,000000000000000;67,000000000000000;75,000000000000000;22,000000000000000;21,000000000000000;20,000000000000000;17,000000000000000;24,000000000000000;15,000000000000000;10,000000000000000;9,000000000000000;4,000000000000000;45,000000000000000;46,000000000000000;5,000000000000000;32,000000000000000;7,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
143;Las Delicias;A. URBANO;COMUNA 01;4,000000000000000;111,000000000000000;53,000000000000000;58,000000000000000;16,000000000000000;23,000000000000000;21,000000000000000;10,000000000000000;14,000000000000000;11,000000000000000;6,000000000000000;8,000000000000000;2,000000000000000;33,000000000000000;32,000000000000000;4,000000000000000;27,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
144;Laureles I;A. URBANO;COMUNA 08;6,000000000000000;149,000000000000000;75,000000000000000;74,000000000000000;23,000000000000000;25,000000000000000;33,000000000000000;23,000000000000000;21,000000000000000;9,000000000000000;10,000000000000000;3,000000000000000;2,000000000000000;44,000000000000000;40,000000000000000;5,000000000000000;35,000000000000000;3,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
145;Los Anaya;A. RURAL;COMUNA 12;2,000000000000000;100,000000000000000;51,000000000000000;49,000000000000000;8,000000000000000;7,000000000000000;21,000000000000000;12,000000000000000;16,000000000000000;9,000000000000000;14,000000000000000;13,000000000000000;0,000000000000000;39,000000000000000;34,000000000000000;3,000000000000000;0,000000000000000;31,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
146;Los Cuadros;A. RURAL;COMUNA 02;2,000000000000000;190,000000000000000;91,000000000000000;99,000000000000000;40,000000000000000;31,000000000000000;34,000000000000000;32,000000000000000;21,000000000000000;23,000000000000000;4,000000000000000;4,000000000000000;1,000000000000000;77,000000000000000;57,000000000000000;4,000000000000000;49,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
147;Luz de Esperanza;A. URBANO;COMUNA 01;3,000000000000000;89,000000000000000;38,000000000000000;51,000000000000000;24,000000000000000;14,000000000000000;15,000000000000000;13,000000000000000;8,000000000000000;13,000000000000000;1,000000000000000;0,000000000000000;1,000000000000000;25,000000000000000;25,000000000000000;1,000000000000000;19,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
148;Luz de Salvacizn I;A. URBANO;COMUNA 10;34,000000000000000;1809,000000000000000;919,000000000000000;890,000000000000000;352,000000000000000;328,000000000000000;385,000000000000000;285,000000000000000;213,000000000000000;143,000000000000000;64,000000000000000;23,000000000000000;16,000000000000000;615,000000000000000;512,000000000000000;88,000000000000000;451,000000000000000;8,000000000000000;1,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000
